periode,wilayah,harga,komoditas
2024-01-31,Jakarta Barat,29944,Ikan Lele
2024-01-31,Jakarta Barat,22306,Gas Elpiji 3kg
2024-01-31,Jakarta Barat,31871,Susu Bubuk Bendera 400gr
2024-01-31,Jakarta Barat,48661,Susu Bubuk Dancow 400gr
2024-01-31,Jakarta Barat,13806,Susu Kental Bendera 200gr
2024-01-31,Jakarta Barat,13097,Susu Kental Enak 200gr
2024-01-31,Jakarta Barat,15398,Margarin Blueband Cup
2024-01-31,Jakarta Barat,9984,Margarin Blueband Sachet
2024-01-31,Jakarta Selatan,13763,Beras IR I (IR 64)
2024-01-31,Jakarta Selatan,12872,Beras IR II (IR 64) Ramos
2024-01-31,Jakarta Selatan,12389,Beras IR III (IR 64)
2024-01-31,Jakarta Selatan,14600,Beras Muncul I
2024-01-31,Jakarta Selatan,14573,Beras IR 42/Pera
2024-01-31,Jakarta Selatan,13629,Beras Setra I/Premium
2024-04-30,Jakarta Utara,16340,Beras Setra I/Premium
2024-04-30,Jakarta Utara,16384,Minyak Goreng (Kuning/Curah)
2024-04-30,Jakarta Utara,56199,Cabe Merah Keriting
2024-04-30,Jakarta Utara,68156,Cabe Merah Besar (TW)
2024-04-30,Jakarta Utara,56244,Cabe Rawit Merah
2024-04-30,Jakarta Utara,54113,Cabe Rawit Hijau
2024-04-30,Jakarta Utara,55197,Bawang Merah
2024-04-30,Jakarta Utara,45791,Bawang Putih
2024-04-30,Jakarta Utara,150216,Daging Sapi Has (Paha Belakang)
2024-04-30,Jakarta Utara,145277,Daging Sapi Murni (Semur)
2024-04-30,Jakarta Utara,45437,Ayam Broiler/Ras
2024-04-30,Jakarta Utara,30102,Telur Ayam Ras
2024-04-30,Jakarta Utara,16836,Gula Pasir
2024-04-30,Jakarta Utara,11583,Tepung Terigu
2024-04-30,Jakarta Utara,3914,Garam Dapur
2024-04-30,Jakarta Utara,21527,Kentang (sedang)
2024-04-30,Jakarta Utara,26086,Tomat Buah
2024-04-30,Jakarta Utara,10582,Kelapa Kupas
2024-04-30,Jakarta Utara,12599,Semangka
